mid,type,name,level,say,model,hp,hpShow,mp,phyAtt,phyAttMax,magicAtt,magicAttMax,taoAtt,taoAttMax,phyDef,phyDefMax,magicDef,magicDefMax,accurate,dodge,poisonRecover,heathRecover,attackSpeed,moveSpeed,aiparam,toattackarea,heart,relive,die,exp,nlexp,guardarea,aitype,moveInterval,reliveType,reliveTypeParam,status,summon,ExistTime,head,dropstate,cast,pathmode,fanyin,pureatk,puredef,tipsname,sex,aperture,unshandow,isrun,isshare,dropshow,playerModel,color,dieeffect,clientspeed,bloodY,showname,randomHpMin,shap
11,0,树精王,1,,2071,50000,1,0,500,1200,500,1200,500,1200,500,1200,1,1,1,0,0,0,800,1,,6,1000,1,200,2869,765,1,2,600,0,0,,1,,52,,0,4,1,0,0,沙狼,0,,,0,,,,,,,,,,
12,0,腐木王,1,,2073,50000,1,0,500,1200,500,1200,500,1200,500,1200,1,1,1,0,0,0,800,1,,6,1000,1,200,2869,765,1,2,600,0,0,,1,,43,,0,4,1,0,0,沙狼,0,,,0,,,,,,,,,,
13,0,九尾妖狐,1,,2082,50000,1,0,500,1200,500,1200,500,1200,500,1200,1,1,1,0,0,0,800,1,,6,1000,1,200,2869,765,1,2,600,0,0,,1,,46,,0,4,1,0,0,沙狼,0,,,0,,,,,,,,,,
14,0,冰霜教主,1,,2087,50000,1,0,500,1200,500,1200,500,1200,500,1200,1,1,1,0,0,0,800,1,Special,6,1000,1,200,2869,765,1,3,600,0,0,,1,,41,,0,4,1,0,0,沙狼,0,,,0,,,,,,,,,,
15,0,雷炎教主,1,,2093,50000,1,0,500,1200,500,1200,500,1200,500,1200,1,1,1,0,0,0,800,1,,6,1000,1,200,2869,765,1,2,600,0,0,,1,,48,,0,4,1,0,0,沙狼,0,,,0,,,,,,,,,,
16,0,魔龙教主,1,,2107,50000,1,0,500,1200,500,1200,500,1200,500,1200,1,1,1,0,0,0,800,1,Special,6,1000,1,200,2869,765,1,3,600,0,0,,1,,49,,0,4,1,0,0,沙狼,0,,,0,,,,,,,,,,
17,0,赤月恶魔,1,,2110,50000,1,0,500,1200,500,1200,500,1200,500,1200,1,1,1,0,0,0,800,0,Special,6,1000,1,200,2869,765,1,3,600,0,0,,1,,42,,0,4,1,0,0,多钩猫人,0,,,0,,,,,,,,,,
18,0,金杖蜘蛛,1,,2090,50000,1,0,500,1200,500,1200,500,1200,500,1200,1,1,1,0,0,0,800,0,Special,6,1000,1,200,2869,765,1,3,600,0,0,,1,,42,,0,4,1,0,0,多钩猫人,0,,,0,,,,,,,,,,
19,2,传奇战圣,1,,1045,50000,1,0,50,60,50,60,50,60,0,0,0,0,19,0,0,0,1600,1,Special,6,1000,0,0,20,100,12,3,250,0,0,,1,,11,,0,4,1,0,0,稻草人,1,,,1,,,1,55,,,180,,,
20,0,九尾狐,1,,2082,50000,1,0,500,1200,500,1200,500,1200,500,1200,1,1,1,0,0,0,800,0,Special,6,1000,1,200,2869,765,1,3,600,0,0,,1,,42,,0,4,1,0,0,多钩猫人,0,,,0,,,,,,,,,,
21,0,霜岭巨人,1,,2073,50000,1,0,500,1200,500,1200,500,1200,500,1200,1,1,1,0,0,0,800,0,Special,6,1000,1,200,2869,765,1,3,600,0,0,,1,,42,,0,4,1,0,0,多钩猫人,0,,,0,,,,,,,,,,
1001,0,稻草人,3,,1001,12,1,0,10,5,9,16,9,16,0,0,0,0,19,0,0,0,3000,1,,6,1000,3,0,1,0,12,1,2200,0,0,,0,,,,0,4,0,0,0,稻草人,0,,,0,1,,,,,,,,,100
1002,0,蛤蟆,3,,1002,9,1,0,25,10,9,16,9,16,0,0,0,0,19,0,0,0,3000,1,,6,1000,3,0,1,0,12,1,600,0,0,,0,,,,0,4,0,0,0,稻草人,0,,,0,1,,,,,,,,,100
1003,0,多钩猫,3,,1003,26,1,0,40,15,9,16,9,16,0,0,0,0,19,0,0,0,3000,1,,6,1000,3,0,1,0,12,1,1800,0,0,,0,,,,0,4,0,0,0,稻草人,0,,,0,1,,,,,,,,,100
1004,0,蛾子,3,,1004,12,1,0,55,20,9,16,9,16,0,0,0,0,19,0,0,0,3000,1,,6,1000,3,0,1,0,12,1,700,0,0,,0,,,,0,4,0,0,0,稻草人,0,,,0,1,,,,,,,,,100
1005,0,祖玛卫士,3,,1005,24,1,0,70,25,9,16,9,16,0,0,0,0,19,0,0,0,3000,1,,6,1000,3,0,1,0,12,1,1200,0,0,,0,,,,0,4,0,0,0,稻草人,0,,,0,1,,,,,,,,,100
1006,0,祖玛大锤,3,,1006,32,1,0,85,30,9,16,9,16,0,0,0,0,19,0,0,0,3000,1,,6,1000,3,0,1,0,12,1,2400,0,0,,0,,,,0,4,0,0,0,稻草人,0,,,0,1,,,,,,,,,100
1007,0,牛魔将军,3,,1020,36,1,0,100,35,9,16,9,16,0,0,0,0,19,0,0,0,3000,1,,6,1000,3,0,1,0,12,1,2100,0,0,,0,,,,0,4,0,0,0,稻草人,0,,,0,1,,,,,,,,,100
1008,0,牛魔法师,3,,1008,40,1,0,115,40,9,16,9,16,0,0,0,0,19,0,0,0,3000,1,,6,1000,3,0,1,0,12,1,1800,0,0,,0,,,,0,4,0,0,0,稻草人,0,,,0,1,,,,,,,,,100
1009,0,牛魔战士,3,,1009,52,1,0,130,45,9,16,9,16,0,0,0,0,19,0,0,0,3000,1,,6,1000,3,0,1,0,12,1,2000,0,0,,0,,,,0,4,0,0,0,稻草人,0,,,0,1,,,,,,,,,100
1010,0,半兽人,3,,1010,33,1,0,145,50,9,16,9,16,0,0,0,0,19,0,0,0,3000,1,,6,1000,3,0,1,0,12,1,800,0,0,,0,,,,0,4,0,0,0,稻草人,0,,,0,1,,,,,,,,,100
1011,0,狐狸精,3,,1011,60,1,0,160,55,9,16,9,16,0,0,0,0,19,0,0,0,3000,1,,6,1000,3,0,1,0,12,1,1200,0,0,,0,,,,0,4,0,0,0,稻草人,0,,,0,1,,,,,,,,,100
1012,0,冰霜卫士,3,,1012,65,1,0,175,60,9,16,9,16,0,0,0,0,19,0,0,0,3000,1,,6,1000,3,0,1,0,12,1,1800,0,0,,0,,,,0,4,0,0,0,稻草人,0,,,0,1,,,,,,,,,100
1013,0,冰霜战士,3,,1013,64,1,0,190,65,9,16,9,16,0,0,0,0,19,0,0,0,3000,1,,6,1000,3,0,1,0,12,1,1900,0,0,,0,,,,0,4,0,0,0,稻草人,0,,,0,1,,,,,,,,,100
1014,0,邪恶屠夫,3,,1014,630,1,0,205,70,9,16,9,16,0,0,0,0,19,0,0,0,3000,1,,6,1000,3,0,1,0,12,1,5500,0,0,,0,,,,0,4,0,0,0,稻草人,0,,,0,1,,,,,,,,,100
1015,0,烈焰蜘蛛,3,,1015,360,1,0,220,75,9,16,9,16,0,0,0,0,19,0,0,0,3000,1,,6,1000,3,0,1,0,12,1,800,0,0,,0,,,,0,4,0,0,0,稻草人,0,,,0,1,,,,,,,,,100
1016,0,烈焰蜥蜴,3,,1016,210,1,0,235,80,9,16,9,16,0,0,0,0,19,0,0,0,3000,1,,6,1000,3,0,1,0,12,1,500,0,0,,0,,,,0,4,0,0,0,稻草人,0,,,0,1,,,,,,,,,100
1017,0,极品大锤,3,,1006,560,1,0,250,30,9,16,9,16,0,0,0,0,19,0,0,0,3000,1,,6,1000,3,0,1,0,12,1,3600,0,0,,0,,,,0,4,0,0,0,稻草人,0,,,0,1,,,,,,,,,250
1018,0,超级牛魔战士,3,,1009,2300,1,0,265,30,9,16,9,16,0,0,0,0,19,0,0,0,3000,1,,6,1000,3,0,1,0,12,1,4500,0,0,,0,,,,0,4,0,0,0,稻草人,0,,,0,1,,,,,,,,,300
1019,0,,3,,,12,1,0,9,95,9,16,9,16,0,0,0,0,19,0,0,0,3000,1,,6,1000,3,0,1,0,12,1,2500,0,0,,0,,,,0,4,0,0,0,稻草人,0,,,0,1,,,,,,,,,
1020,0,,3,,,12,1,0,9,100,9,16,9,16,0,0,0,0,19,0,0,0,3000,1,,6,1000,3,0,1,0,12,1,2500,0,0,,0,,,,0,4,0,0,0,稻草人,0,,,0,1,,,,,,,,,
5001,0,邪恶钳虫,39,测试,2110,525,1,0,20,30,20,30,20,30,0,0,0,0,19,0,0,0,3000,1,,6,1000,3,0,28,11,12,2,2500,0,0,,0,,42,,0,4,0,0,0,稻草人,0,,,0,,,,,,,,,,
5002,0,邪恶钳虫,39,测试,2099,525,1,0,20,30,20,30,20,30,0,0,0,0,19,0,0,0,3000,1,,6,1000,3,0,28,11,12,2,2500,0,0,,0,,,,0,4,0,0,0,稻草人,0,,,0,,,,,,,,,,
5004,0,鹿,2,我们是玛法大陆激情岁月的见证者,2054,10,1,0,9,16,9,16,9,16,0,0,0,0,19,0,0,0,3000,1,,6,1000,3,0,1,0,12,1,2500,0,0,,0,,,,0,4,0,0,0,稻草人,0,,,0,1,,,,,,70,,,
5014,0,鸡,1,咕咕逮,2055,10,1,0,9,16,9,16,9,16,0,0,0,0,19,0,0,0,3000,1,,6,1000,3,0,1,0,12,1,2500,0,0,,0,,,,0,4,0,0,0,稻草人,0,,,0,1,,,,,,40,,,
5024,0,稻草人,3,村子好像有个屠夫在收购我们的肉,1002,40,1,0,9,16,9,16,9,16,0,0,0,0,19,0,0,0,3000,1,,6,1000,3,0,3,0,12,1,2500,0,0,,0,,,,0,4,0,0,0,稻草人,0,,,0,1,,,,,,,,,
5034,0,蝎子,10,测试,1153,50,1,0,9,16,9,16,9,16,0,0,0,0,19,0,0,0,3000,1,,6,1000,3,0,3,0,12,1,2500,0,0,,0,,,,0,4,0,0,0,稻草人,0,,,0,1,,,,,,,,,
5044,0,骷髅,10,测试,1153,60,1,0,9,16,9,16,9,16,0,0,0,0,19,0,0,0,3000,1,,6,1000,3,0,3,0,12,1,2500,0,0,,0,,,,0,4,0,0,0,稻草人,0,,,0,1,,,,,,,,,
5054,0,稻草人,3,测试,2051,12,1,0,9,16,9,16,9,16,0,0,0,0,19,0,0,0,3000,1,,6,1000,3,0,1,0,12,1,2500,0,0,,0,,,,0,4,0,0,0,稻草人,0,,,0,1,,,,,,,,,
5064,0,多钩猫,4,测试,2063,20,1,0,9,16,9,16,9,16,0,0,0,0,19,0,0,0,3000,1,,6,1000,3,0,1,0,12,1,2500,0,0,,0,,,,0,4,0,0,0,稻草人,0,,,0,1,,,,,,,,,
5074,0,多钩猫王,10,测试,1153,5000,1,0,9,16,9,16,9,16,0,0,0,0,19,0,0,0,3000,1,,6,1000,3,0,268,0,12,1,2500,0,0,,0,,,,0,4,0,0,0,稻草人,0,,0,0,1,,,,,,,,,
5084,0,钉耙猫王,10,测试,1153,5010,1,0,9,16,9,16,9,16,0,0,0,0,19,0,0,0,3000,1,,6,1000,3,0,268,0,12,1,2500,0,0,,0,,,,0,4,0,0,0,稻草人,0,,0,0,1,,,,,,,,,
5085,0,食人花,7,测试,2064,50,1,0,9,16,9,16,9,16,0,0,0,0,19,0,0,0,3000,0,,6,1000,3,0,3,0,12,1,2500,0,0,,0,,,,0,4,0,0,0,稻草人,0,,,0,1,,,,,,,,,
5086,0,半兽人,10,测试,1153,200,1,0,9,16,9,16,9,16,0,0,0,0,19,0,0,0,3000,1,,6,1000,3,0,10,0,12,1,2500,0,0,,0,,,,0,4,0,0,0,稻草人,0,,,0,1,,,,,,,,,
5087,0,蛤蟆,5,测试,2052,28,1,0,9,16,9,16,9,16,0,0,0,0,19,0,0,0,3000,1,,6,1000,3,0,3,0,12,1,2500,0,0,,0,,,,0,4,0,0,0,稻草人,0,,,0,1,,,,,,50,,,
5088,0,钉耙猫,6,测试,2062,35,1,0,9,16,9,16,9,16,0,0,0,0,19,0,0,0,3000,1,,6,1000,3,0,3,0,12,1,2500,0,0,,0,,,,0,4,0,0,0,稻草人,0,,,0,1,,,,,,,,,
5094,0,钳虫,30,测试,2027,275,1,0,20,30,20,30,20,30,0,0,0,0,19,0,0,0,3000,1,,6,1000,3,0,15,0,12,2,2500,0,0,,0,,,,0,4,0,0,0,稻草人,0,,,0,1,,,,,,80,,,
5095,0,钳虫,37,测试,2027,300,1,0,20,30,20,30,20,30,0,0,0,0,19,0,0,0,3000,1,,6,1000,3,0,15,0,12,2,2500,0,0,,0,,,,0,4,0,0,0,稻草人,0,,,0,1,,,,,,80,,,
5104,0,邪恶钳虫,39,测试,2049,425,1,0,20,30,20,30,20,30,0,0,0,0,19,0,0,0,3000,1,,6,1000,3,0,23,0,12,2,2500,0,0,,0,,,,0,4,0,0,0,稻草人,0,,,0,1,,,,,,,,,
5114,0,黑色恶蛆,27,测试,2024,375,1,0,20,30,20,30,20,30,0,0,0,0,19,0,0,0,3000,1,,6,1000,3,0,20,0,12,2,2500,0,0,,0,,,,0,4,0,0,0,稻草人,0,,,0,1,,,,,,80,,,
5115,0,黑色恶蛆,33,测试,2024,500,1,0,20,30,20,30,20,30,0,0,0,0,19,0,0,0,3000,1,,6,1000,3,0,25,0,12,2,2500,0,0,,0,,,,0,4,0,0,0,稻草人,0,,,0,1,,,,,,80,,,
5124,0,蜈蚣,28,测试,2025,200,1,0,20,30,20,30,20,30,0,0,0,0,19,0,0,0,3000,1,,6,1000,3,0,10,0,12,2,2500,0,0,,0,,,,0,4,0,0,0,稻草人,0,,0,0,1,,,,,,60,,,
5125,0,蜈蚣,34,测试,2025,325,1,0,20,30,20,30,20,30,0,0,0,0,19,0,0,0,3000,1,,6,1000,3,0,18,0,12,2,2500,0,0,,0,,,,0,4,0,0,0,稻草人,0,,0,0,1,,,,,,60,,,
5126,0,蜈蚣,40,测试,2025,400,1,0,20,30,20,30,20,30,0,0,0,0,19,0,0,0,3000,1,,6,1000,3,0,20,0,20,2,1000,0,0,,0,,,,0,4,0,0,0,稻草人,0,,0,0,1,,,,,,60,,,
5134,0,蠕虫,31,测试,2026,350,1,0,20,30,20,30,20,30,0,0,0,0,19,0,0,0,3000,1,,6,1000,3,0,18,0,12,2,2500,0,0,,0,,,,0,4,0,0,0,稻草人,0,,,0,1,,,,,,80,,,
5135,0,蠕虫,36,测试,2026,375,1,0,20,30,20,30,20,30,0,0,0,0,19,0,0,0,3000,1,,6,1000,3,0,20,0,12,2,2500,0,0,,0,,,,0,4,0,0,0,稻草人,0,,,0,1,,,,,,80,,,
5144,0,跳跳蜂,29,测试,2023,325,1,0,20,30,20,30,20,30,0,0,0,0,19,0,0,0,3000,1,,6,1000,3,0,18,0,12,2,2500,0,0,,0,,,,0,4,0,0,0,稻草人,0,,,0,1,,,,,,,,,
5145,0,跳跳蜂,35,测试,2023,350,1,0,20,30,20,30,20,30,0,0,0,0,19,0,0,0,3000,1,,6,1000,3,0,18,0,12,2,2500,0,0,,0,,,,0,4,0,0,0,稻草人,0,,,0,1,,,,,,,,,
5146,0,疯羊,53,测试,2056,800,1,0,40,50,40,50,40,50,0,0,0,0,19,0,0,0,3000,1,,6,1000,3,0,40,0,12,2,2500,0,0,,0,,,,0,4,0,0,0,稻草人,0,,,0,1,,,,,,60,,,
5154,2,触龙神,40,测试,2028,3000,1,0,20,30,20,30,20,30,0,0,0,0,19,0,0,0,3000,0,Special,6,1000,0,0,900,350,12,3,2500,0,0,,0,,29,,0,4,1,0,0,稻草人,0,,2,0,1,130202030#130302030#130802030#130402030#130602030#130702030#120202030#120302030#120802030#120402030#120602030#120702030#110202030#110302030#110802030#110402030#110602030#110702030,,55,,,180,,,
5155,0,威思而小虫,53,测试,2019,800,1,0,40,50,40,50,40,50,0,0,0,0,19,0,0,0,3000,1,,6,1000,3,0,40,16,12,1,2500,0,0,,0,,,,0,4,0,0,0,稻草人,0,,,0,1,,,,,,,,,
5156,0,盔甲虫,53,测试,2020,800,1,0,40,50,40,50,40,50,0,0,0,0,19,0,0,0,3000,1,,6,1000,3,0,40,16,12,1,2500,0,0,,0,,,,0,4,0,0,0,稻草人,0,,,0,1,,,,,,,,,
5157,0,多角虫,55,测试,2021,800,1,0,40,50,40,50,40,50,0,0,0,0,19,0,0,0,3000,1,,6,1000,3,0,40,16,12,1,2500,0,0,,0,,,,0,4,0,0,0,稻草人,0,,,0,1,,,,,,,,,
5158,0,巨型多角虫,54,测试,2022,1000,1,0,40,50,40,50,40,50,0,0,0,0,19,0,0,0,3000,1,,6,1000,3,0,51,20,12,1,2500,0,0,,0,,,,0,4,0,0,0,稻草人,0,,0,0,1,,,,,,,,,
5159,0,腐尸,10,测试,2029,400,1,0,3,6,3,6,3,6,0,0,0,0,19,0,0,0,3000,1,,6,1000,3,0,20,0,12,2,2500,0,0,,0,,,,0,4,0,0,0,稻草人,0,,,0,1,,,,,,,,,
5164,0,僵尸,9,测试,2014,150,1,0,3,6,3,6,3,6,0,0,0,0,19,0,0,0,3000,1,,6,1000,3,0,8,0,12,2,2500,0,0,,0,,,,0,4,0,0,0,稻草人,0,,,0,1,,,,,,,,4,
5165,0,爬行僵尸,10,测试,2015,175,1,0,3,6,3,6,3,6,0,0,0,0,19,0,0,0,3000,1,,6,1000,3,0,10,0,12,2,2500,0,0,,0,,,,0,4,0,0,0,稻草人,0,,,0,1,,,,,,80,,3,
5166,0,腐烂僵尸,11,测试,2029,200,1,0,3,6,3,6,3,6,0,0,0,0,19,0,0,0,3000,1,,6,1000,3,0,10,0,12,2,2500,0,0,,0,,,,0,4,0,0,0,稻草人,0,,,0,1,,,,,,,,5,
5167,0,电僵尸,12,测试,2013,225,1,0,3,6,3,6,3,6,0,0,0,0,19,0,0,0,3000,1,Special,6,1000,3,0,13,0,12,3,2500,0,0,,0,,,,0,4,0,0,0,稻草人,0,,,0,1,,,,,,,,2,
5168,0,武僧僵尸,13,测试,2012,250,1,0,3,6,3,6,3,6,0,0,0,0,19,0,0,0,3000,1,,6,1000,3,0,13,0,12,2,2500,0,0,,0,,,,0,4,0,0,0,稻草人,0,,,0,1,,,,,,,,4,
5169,0,尸王,14,测试,2017,800,1,0,3,6,3,6,3,6,0,0,0,0,19,0,0,0,3000,1,,6,1000,3,0,40,0,12,2,2500,0,0,,0,,31,,0,4,0,0,0,稻草人,0,,2,2,1,,,,,,,,3,
5170,0,洞蛆,8,测试,2011,125,1,0,3,6,3,6,3,6,0,0,0,0,19,0,0,0,3000,1,Special,6,1000,3,0,8,0,12,3,2500,0,0,,0,,,,0,4,0,0,0,稻草人,0,,,0,1,,,,,,40,,2,
5173,0,沃玛勇士,49,测试,2009,700,1,0,30,40,30,40,30,40,0,0,0,0,19,0,0,0,3000,1,,6,1000,3,0,35,14,12,2,2500,0,0,,0,,,,0,4,0,0,0,稻草人,0,,,0,1,,,,,,,,,
5174,0,沃玛勇士,49,测试,2009,800,1,0,30,40,30,40,30,40,0,0,0,0,19,0,0,0,3000,1,,6,1000,3,0,40,16,12,2,2500,0,0,,0,,,,0,4,0,0,0,稻草人,0,,,0,1,,,,,,,,,
5175,0,沃玛守卫,49,测试,2005,825,1,0,30,40,30,40,30,40,0,0,0,0,19,0,0,0,3000,1,,6,1000,3,0,43,17,12,2,2500,0,0,,0,,,,0,4,0,0,0,稻草人,0,,,0,1,,,,,,,,,
5184,0,沃玛战士,47,测试,2004,675,1,0,30,40,30,40,30,40,0,0,0,0,19,0,0,0,3000,1,,6,1000,3,0,35,14,12,2,2500,0,0,,0,,,,0,4,0,0,0,稻草人,0,,,0,1,,,,,,,,,
5194,0,火焰沃玛,48,测试,2003,725,1,0,30,40,30,40,30,40,0,0,0,0,19,0,0,0,3000,1,Special,6,1000,3,0,38,15,12,3,2500,0,0,,0,,,,0,4,0,0,0,稻草人,0,,,0,1,,,,,,,,,
5195,0,火焰沃玛,49,测试,2003,700,1,0,30,40,30,40,30,40,0,0,0,0,19,0,0,0,3000,1,Special,6,1000,3,0,35,14,12,3,2500,0,0,,0,,,,0,4,0,0,0,稻草人,0,,,0,1,,,,,,,,,
5196,0,火焰沃玛,49,测试,2003,900,1,0,30,40,30,40,30,40,0,0,0,0,19,0,0,0,3000,1,Special,15,1000,3,0,45,18,28,3,1000,0,0,,0,,,,0,4,0,0,0,稻草人,0,,,0,1,,,,,,,,,
5204,0,沃玛统领,49,测试,2006,600,1,0,30,40,30,40,30,40,0,0,0,0,19,0,0,0,3000,1,,6,1000,3,0,30,12,12,2,2500,0,0,,0,,,,0,4,0,0,0,稻草人,0,,,0,1,,,,,,,,,
5205,2,沃玛教主,49,测试,2010,15000,1,0,30,40,30,40,30,40,0,0,0,0,19,0,0,0,3000,1,Special,15,1000,0,0,120,100,12,3,2500,0,0,,0,,32,,0,4,1,0,0,稻草人,0,,2,2,1,130202030#130302030#130802030#130402030#130602030#130702030#120202030#120302030#120802030#120402030#120602030#120702030#110202030#110302030#110802030#110402030#110602030#110702030,,55,,,180,,,
5213,0,暗黑战士,46,测试,2008,650,1,0,30,40,30,40,30,40,0,0,0,0,19,0,0,0,3000,1,Special,6,1000,3,0,33,13,12,3,2500,0,0,,0,,,,0,4,0,0,0,稻草人,0,,,0,1,,,,,,70,,,
5214,0,暗黑战士,49,测试,2008,775,1,0,30,40,30,40,30,40,0,0,0,0,19,0,0,0,3000,1,Special,6,1000,3,0,40,16,12,3,2500,0,0,,0,,,,0,4,0,0,0,稻草人,0,,,0,1,,,,,,70,,,
5215,0,粪虫,46,测试,2007,625,1,0,30,40,30,40,30,40,0,0,0,0,19,0,0,0,3000,1,,6,1000,3,0,33,13,12,2,2500,0,0,,0,,,,0,4,0,0,0,稻草人,0,,,0,1,,,,,,70,,,
5216,0,粪虫,49,测试,2007,750,1,0,30,40,30,40,30,40,0,0,0,0,19,0,0,0,3000,1,,6,1000,3,0,38,15,12,2,2500,0,0,,0,,,,0,4,0,0,0,稻草人,0,,,0,1,,,,,,70,,,
5224,0,红野猪,57,测试,2000,2000,1,0,40,50,40,50,40,50,0,0,0,0,19,0,0,0,3000,1,,6,1000,3,0,105,41,12,2,2500,0,0,,0,,,,0,4,0,0,0,稻草人,0,,,0,1,,,,,,,,,
5225,0,红野猪,58,测试,2000,2100,1,0,40,50,40,50,40,50,0,0,0,0,19,0,0,0,3000,1,,6,1000,3,0,110,43,12,2,2500,0,0,,0,,,,0,4,0,0,0,稻草人,0,,,0,1,,,,,,,,,
5226,0,红野猪,59,测试,2000,2100,1,0,40,50,40,50,40,50,0,0,0,0,19,0,0,0,3000,1,,6,1000,3,0,110,43,20,2,1000,0,0,,0,,,,0,4,0,0,0,稻草人,0,,,0,1,,,,,,,,,
5234,0,黑野猪,57,测试,2001,2100,1,0,40,50,40,50,40,50,0,0,0,0,19,0,0,0,3000,1,,6,1000,3,0,110,43,12,2,2500,0,0,,0,,,,0,4,0,0,0,稻草人,0,,,0,1,,,,,,,,,
5244,0,黑蛆,48,测试,2024,2100,1,0,40,50,40,50,40,50,0,0,0,0,19,0,0,0,3000,1,,6,1000,3,0,110,43,20,2,1000,0,0,,0,,,,0,4,0,0,0,稻草人,0,,,0,1,,,,,,,,,
5245,2,石墓猪王,60,测试,2059,20000,1,0,40,50,40,50,40,50,0,0,0,0,19,0,0,0,3000,1,,15,1000,0,0,20,100,12,2,2500,0,0,,0,,33,,0,4,1,0,0,稻草人,0,,,2,1,130202030#130302030#130802030#130402030#130602030#130702030#120202030#120302030#120802030#120402030#120602030#120702030#110202030#110302030#110802030#110402030#110602030#110702030,,55,,,180,,,
5254,0,石墓黑蛆,58,测试,2024,1800,1,0,40,50,40,50,40,50,0,0,0,0,19,0,0,0,3000,1,,6,1000,3,0,94,37,12,2,2500,0,0,,0,,,,0,4,0,0,0,稻草人,0,,,0,1,,,,,,,,,
5255,1,布拉格灬小天,55,测试,1021,2863,1,0,50,60,50,60,50,60,0,0,0,0,19,0,0,0,1600,1,Special,30,1000,0,0,20,100,30,3,250,0,0,,0,,,,0,4,0,0,0,稻草人,1,,,1,1,,1,55,,,,,,
5256,1,狼族灬恶魔,55,测试,1069,2629,1,0,50,60,50,60,50,60,0,0,0,0,19,0,0,0,1600,1,Special,30,1000,0,0,20,100,30,3,250,0,0,,0,,,,0,4,0,0,0,稻草人,1,,,1,1,,1,55,,,,,,
5257,1,布拉格の神话,55,测试,1038,2906,1,0,50,60,50,60,50,60,0,0,0,0,19,0,0,0,1600,1,Special,30,1000,0,0,20,100,30,3,250,0,0,,0,,,,0,4,0,0,0,稻草人,0,,,1,1,,1,55,,,,,,
5258,1,狼族の八狗子,55,测试,1035,2254,1,0,50,60,50,60,50,60,0,0,0,0,19,0,0,0,1600,1,Special,30,1000,0,0,20,100,30,3,250,0,0,,0,,,,0,4,0,0,0,稻草人,1,,,1,1,,1,55,,,,,,
5259,2,布拉格の帝王,56,测试,1075,9999,1,0,50,60,50,60,50,60,0,0,0,0,19,0,0,0,1600,1,Special,30,1000,0,0,20,100,30,3,250,0,0,,0,,11,,0,4,1,0,0,稻草人,1,,,1,1,,1,55,,,180,,,
